timestamp,level,service,message
2026-05-01 10:15:23,INFO,auth,User login successful
2026-05-01 10:16:02,WARNING,db,Slow query detected
2026-05-01 10:17:45,ERROR,api,Endpoint /users failed with 500
2026-05-01 10:18:10,INFO,auth,User logout
2026-05-01 10:19:33,ERROR,db,Connection timeout
2026-05-01 10:20:01,INFO,api,Request processed successfully
2026-05-01 10:21:55,WARNING,auth,Multiple failed login attempts
2026-05-01 10:22:40,INFO,system,Scheduled backup completed
2026-05-01 10:23:12,ERROR,api,Invalid JSON payload
2026-05-01 10:24:05,INFO,db,Connection restored
